"genus","species","count","tree"
"Pinus","flexilis",3,"Pinus flexilis"
"Pinus","ponderosa",3,"Pinus ponderosa"
"Pinus","sabiniana",3,"Pinus sabiniana"
"Platycarya","strobilacea",3,"Platycarya strobilacea"
"Prunus","x schmittii",3,"Prunus x schmittii"
"Quercus","pyrenaica",3,"Quercus pyrenaica"
"Salix","purpurea",3,"Salix purpurea"
"Salix","udensis",3,"Salix udensis"
"Salix","x smithiana",3,"Salix x smithiana"
"Sciadopitys","verticillata",3,"Sciadopitys verticillata"
"Sorbus","megalocarpa",3,"Sorbus megalocarpa"
"Zanthoxylum","simulans",3,"Zanthoxylum simulans"
"Zelkova","carpinifolia",3,"Zelkova carpinifolia"
"Abies","cephalonica",2,"Abies cephalonica"
"Abies","nordmanniana subsp. equi-trojani",2,"Abies nordmanniana subsp. equi-trojani"
"Acer","capillipes",2,"Acer capillipes"
"Acer","circinatum",2,"Acer circinatum"
"Acer","shirasawanum",2,"Acer shirasawanum"
"Albizia","julibrissin",2,"Albizia julibrissin"
"Alnus","hirsuta",2,"Alnus hirsuta"
"Alnus","japonica",2,"Alnus japonica"
"Alnus","rubra",2,"Alnus rubra"
"Betula","costata",2,"Betula costata"
"Carya","cordiformis",2,"Carya cordiformis"
"Cornus","nuttallii",2,"Cornus nuttallii"
"Crataegus","coccinea",2,"Crataegus coccinea"
"Diospyros","lotus",2,"Diospyros lotus"
"Firmiana","simplex",2,"Firmiana simplex"
"Juglans","microcarpa",2,"Juglans microcarpa"
"Laburnum","anagyroides",2,"Laburnum anagyroides"
"Laburnum","spec.",2,"Laburnum spec."
"Liquidambar","orientalis",2,"Liquidambar orientalis"
"Liriodendron","chinense",2,"Liriodendron chinense"
"Lonicera","maackii",2,"Lonicera maackii"
"Morus","spec.",2,"Morus spec."
"Paulownia","spec.",2,"Paulownia spec."
"Picea","pungens (S)",2,"Picea pungens (S)"
"Picea","smithiana",2,"Picea smithiana"
"Pinus","aristata",2,"Pinus aristata"
"Pinus","densiflora",2,"Pinus densiflora"
"Prunus","nigra",2,"Prunus nigra"
"Prunus","virginiana",2,"Prunus virginiana"
"Ptelea","trifoliata",2,"Ptelea trifoliata"
"Quercus","alba",2,"Quercus alba"
"Quercus","bicolor",2,"Quercus bicolor"
"Quercus","faginea",2,"Quercus faginea"
"Quercus","imbricaria",2,"Quercus imbricaria"
"Quercus","prinoides",2,"Quercus prinoides"
"Quercus","rhysophylla",2,"Quercus rhysophylla"
"Salix","",2,"Salix "
"Salix","aurita",2,"Salix aurita"
"Salix","caesia",2,"Salix caesia"
"Salix","gracilistyla",2,"Salix gracilistyla"
"Sorbus","randaiensis",2,"Sorbus randaiensis"
"Sycopsis","sinensis",2,"Sycopsis sinensis"
"Tetradium","spec.",2,"Tetradium spec."
"Tilia","amurensis",2,"Tilia amurensis"
"Ulmus","japonica",2,"Ulmus japonica"
"x Chitalpa","tashkentensis",2,"x Chitalpa tashkentensis"
"Abies","amabilis",1,"Abies amabilis"
"Abies","grandis",1,"Abies grandis"
"Abies","lasiocarpa",1,"Abies lasiocarpa"
"Acer","velutinum",1,"Acer velutinum"
"Aesculus","",1,"Aesculus "
"Aesculus","glabra",1,"Aesculus glabra"
"Aesculus","turbinata",1,"Aesculus turbinata"
"Amelanchier","laevis",1,"Amelanchier laevis"
"Amelanchier","rotundifolia",1,"Amelanchier rotundifolia"
"Aralia","spec.",1,"Aralia spec."
"Asimina","triloba",1,"Asimina triloba"
"Betula","",1,"Betula "
"Betula","platyphylla",1,"Betula platyphylla"
"Betula","szechuanica",1,"Betula szechuanica"
"Betula","x caerulea",1,"Betula x caerulea"
"Carpinus","caroliniana",1,"Carpinus caroliniana"
"Carpinus","kawakamii",1,"Carpinus kawakamii"
"Carpinus","orientalis",1,"Carpinus orientalis"
"Carpinus","polyneura",1,"Carpinus polyneura"
"Carpinus","spec.",1,"Carpinus spec."
"Castanea","henryi",1,"Castanea henryi"
"Castanea","mollissima",1,"Castanea mollissima"
"Castanea","pumila",1,"Castanea pumila"
"Catalpa","x erubescens",1,"Catalpa x erubescens"
"Celtis","mississipiensis",1,"Celtis mississipiensis"
"Chimonanthus","praecox",1,"Chimonanthus praecox"
"Chionanthus","retusus",1,"Chionanthus retusus"
"Cladrastis","lutea",1,"Cladrastis lutea"
"Cornus","",1,"Cornus "
"Cornus","sanguinea",1,"Cornus sanguinea"
"Cunninghamia","lanceolata",1,"Cunninghamia lanceolata"
"Cupressus","spec.",1,"Cupressus spec."
"Diospyros","kaki (w)",1,"Diospyros kaki (w)"
"Diospyros","spec.",1,"Diospyros spec."
"Elaeagnus","multiflora",1,"Elaeagnus multiflora"
"Eriobotrya","japonica",1,"Eriobotrya japonica"
"Euptelea","polyandra",1,"Euptelea polyandra"
"Fagus","crenata",1,"Fagus crenata"
"Fagus","engleriana",1,"Fagus engleriana"
"Fagus","grandifolia",1,"Fagus grandifolia"
"Frangula","alnus",1,"Frangula alnus"
"Fraxinus","anomala",1,"Fraxinus anomala"
"Fraxinus","latifolia",1,"Fraxinus latifolia"
"Gleditsia","spec.",1,"Gleditsia spec."
"Gymnocladus","dioica (m)",1,"Gymnocladus dioica (m)"
"Holodiscus","discolor",1,"Holodiscus discolor"
"Juglans","cinerea",1,"Juglans cinerea"
"Juglans","mandshurica",1,"Juglans mandshurica"
"Juniperus","scopulorum",1,"Juniperus scopulorum"
"Ligustrum","sinense",1,"Ligustrum sinense"
"Maackia","amurensis",1,"Maackia amurensis"
"Magnolia","denudata",1,"Magnolia denudata"
"Magnolia","tripetala",1,"Magnolia tripetala"
"Malus","prunifolia",1,"Malus prunifolia"
"Malus","pumila",1,"Malus pumila"
"Morus","kagayamae",1,"Morus kagayamae"
"Olea","europaea",1,"Olea europaea"
"Osmanthus","decorus",1,"Osmanthus decorus"
"Ostrya","japonica",1,"Ostrya japonica"
"Ostrya","virginiana",1,"Ostrya virginiana"
"Phellodendron","japonicum",1,"Phellodendron japonicum"
"Photinia","x fraseri",1,"Photinia x fraseri"
"Picea","bicolor",1,"Picea bicolor"
"Picea","engelmannii",1,"Picea engelmannii"
"Pinus","monticola",1,"Pinus monticola"
"Pinus","peuce",1,"Pinus peuce"
"Platycladus","orientalis",1,"Platycladus orientalis"
"Poncirus","trifoliata",1,"Poncirus trifoliata"
"Populus","trichocarpa",1,"Populus trichocarpa"
"Prunus","mume",1,"Prunus mume"
"Prunus","pendula",1,"Prunus pendula"
"Prunus","x blireana",1,"Prunus x blireana"
"Pterocarya","x rehderiana",1,"Pterocarya x rehderiana"
"Pyrus","x canescens",1,"Pyrus x canescens"
"Quercus","",1,"Quercus "
"Quercus","acutissima",1,"Quercus acutissima"
"Quercus","garryana",1,"Quercus garryana"
"Quercus","ithaburensis",1,"Quercus ithaburensis"
"Quercus","velutina",1,"Quercus velutina"
"Rhus","typhina",1,"Rhus typhina"
"Robinia","viscosa",1,"Robinia viscosa"
"Robinia","x ambigua",1,"Robinia x ambigua"
"Sophora","spec.",1,"Sophora spec."
"Sorbus","decora",1,"Sorbus decora"
"Sorbus","hybrida",1,"Sorbus hybrida"
"Sorbus","scalaris",1,"Sorbus scalaris"
"Stewartia","pseudocamellia",1,"Stewartia pseudocamellia"
"Taxus","spec.",1,"Taxus spec."
"Tilia","endochrysea",1,"Tilia endochrysea"
"Torreya","californica",1,"Torreya californica"
"Torreya","nucifera",1,"Torreya nucifera"
"Tsuga","diversifolia",1,"Tsuga diversifolia"
"Tsuga","heterophylla",1,"Tsuga heterophylla"
"Tsuga","spec.",1,"Tsuga spec."
"Ulmus","americana",1,"Ulmus americana"
"Zanthoxylum","piperitum",1,"Zanthoxylum piperitum"
